epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,109.266,1.82462,1.53969,0.00141,0.84468,0.60063,0.69048,0.42801,1.69125,0.76864,0.00161,0.00996552,0.00332184,0.00996552,0.00332184,0.00996552,0.00332184,0.00996552,0.00332184
2,193,1.70962,0.76933,0.00119,0.84038,0.63416,0.72485,0.44179,1.69444,0.71587,0.00157,0.0197679,0.00658929,0.0197679,0.00658929,0.0197679,0.00658929,0.0197679,0.00658929
3,269.515,1.73168,0.74111,0.00121,0.80858,0.63681,0.7276,0.44563,1.66193,0.73124,0.00161,0.0293722,0.00979073,0.0293722,0.00979073,0.0293722,0.00979073,0.0293722,0.00979073
4,345.853,1.71224,0.72117,0.0012,0.8588,0.66136,0.7539,0.47521,1.57357,0.67133,0.00148,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,422.013,1.65803,0.6763,0.00114,0.8684,0.66576,0.75829,0.48719,1.58682,0.66773,0.00149,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,498.141,1.61834,0.65496,0.0011,0.87022,0.68294,0.7733,0.49147,1.54381,0.6352,0.00141,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,574.187,1.59611,0.63479,0.00109,0.88084,0.70806,0.79226,0.52233,1.48709,0.59992,0.00136,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,650.302,1.56757,0.61078,0.00106,0.89584,0.71101,0.80185,0.53502,1.45315,0.5774,0.0013,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,726.304,1.54384,0.59553,0.00104,0.88222,0.68464,0.77988,0.51706,1.51102,0.61902,0.00138,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,802.422,1.52053,0.584,0.00101,0.89431,0.72277,0.8117,0.54779,1.42037,0.55034,0.00127,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,878.933,1.51198,0.5746,0.001,0.88197,0.73343,0.80971,0.54476,1.42195,0.56178,0.00128,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,954.999,1.5061,0.56709,0.00099,0.88854,0.72423,0.80778,0.53258,1.48295,0.56184,0.00132,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1031.3,1.49265,0.56073,0.00099,0.88776,0.73791,0.81903,0.55472,1.3994,0.54976,0.00123,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1107.4,1.48045,0.54708,0.00098,0.89449,0.74167,0.82334,0.55583,1.41073,0.53461,0.00125,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1183.65,1.47616,0.54246,0.00097,0.89876,0.73532,0.82122,0.55747,1.39609,0.53355,0.00125,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1260.39,1.46211,0.53829,0.00096,0.89699,0.73752,0.82597,0.56689,1.37434,0.52838,0.0012,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1337.11,1.45711,0.52824,0.00096,0.90946,0.73418,0.82441,0.56192,1.38024,0.52504,0.0012,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1413.54,1.45386,0.53193,0.00095,0.90876,0.73861,0.82594,0.56583,1.36408,0.53061,0.00118,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1489.84,1.45681,0.53239,0.00094,0.90563,0.74443,0.83227,0.57053,1.37867,0.52445,0.0012,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1566.78,1.44572,0.52399,0.00095,0.90418,0.74557,0.83178,0.57206,1.37058,0.51924,0.00119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1643.63,1.44598,0.52027,0.00094,0.9043,0.74876,0.82922,0.57595,1.35289,0.51612,0.00117,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1719.99,1.43554,0.5152,0.00093,0.90613,0.75634,0.83726,0.57937,1.34963,0.50933,0.00116,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1796.19,1.44098,0.5146,0.00093,0.90857,0.75407,0.83968,0.58256,1.35348,0.5029,0.00116,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1872.43,1.43257,0.51466,0.00093,0.90445,0.75708,0.8372,0.57981,1.34781,0.50345,0.00116,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1948.31,1.43106,0.51222,0.00092,0.91652,0.75103,0.84037,0.58403,1.35547,0.5086,0.00116,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2024.67,1.4268,0.50737,0.00093,0.90794,0.75491,0.83951,0.58664,1.33665,0.50521,0.00114,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2100.92,1.42584,0.51197,0.00091,0.90559,0.76318,0.84263,0.58865,1.33123,0.49634,0.00114,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2177.17,1.42448,0.50411,0.00092,0.9146,0.76032,0.84548,0.59157,1.33793,0.49508,0.00115,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2253.52,1.42051,0.50802,0.00091,0.91013,0.76648,0.84424,0.5929,1.32259,0.50048,0.00113,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2329.78,1.41473,0.49438,0.00091,0.90836,0.76343,0.84531,0.59078,1.32589,0.49846,0.00114,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2406.16,1.41588,0.49489,0.00091,0.91209,0.75394,0.84144,0.59158,1.31837,0.50204,0.00112,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2482.51,1.41295,0.49821,0.0009,0.91602,0.76926,0.8516,0.59827,1.31466,0.48321,0.00111,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2558.68,1.41759,0.49476,0.00091,0.91757,0.75585,0.84645,0.59603,1.32214,0.49477,0.00112,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2635.18,1.40528,0.4915,0.0009,0.91838,0.76987,0.85265,0.60049,1.30145,0.48963,0.0011,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2711.73,1.39629,0.49368,0.00089,0.91882,0.76924,0.85108,0.60201,1.29829,0.48983,0.0011,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2788.48,1.39301,0.48471,0.00089,0.92225,0.76499,0.85012,0.59828,1.31377,0.49207,0.00111,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2864.71,1.39667,0.48729,0.00088,0.91115,0.76963,0.85107,0.60173,1.29859,0.47868,0.0011,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2940.72,1.38631,0.48076,0.00089,0.91625,0.77093,0.85171,0.60314,1.30032,0.48211,0.0011,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3016.91,1.39726,0.48498,0.00089,0.91923,0.76846,0.85605,0.60391,1.30311,0.47727,0.0011,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3093.42,1.38892,0.48864,0.00087,0.91829,0.77222,0.85494,0.60641,1.29404,0.47808,0.00109,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3171.07,1.37473,0.47844,0.00087,0.92279,0.76863,0.85713,0.60888,1.28746,0.47974,0.00108,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3248.49,1.37514,0.47079,0.00087,0.92262,0.77497,0.85909,0.60998,1.28337,0.46896,0.00107,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3326.02,1.36999,0.47902,0.00086,0.91553,0.77335,0.85734,0.60846,1.28101,0.47209,0.00107,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3403.19,1.37497,0.4708,0.00087,0.92392,0.77667,0.86017,0.61045,1.28491,0.46546,0.00107,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3479.98,1.35642,0.46427,0.00086,0.91846,0.78083,0.85985,0.61132,1.28566,0.46851,0.00107,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3556.63,1.36027,0.4654,0.00085,0.92036,0.77941,0.86001,0.61042,1.28471,0.46853,0.00107,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3634.17,1.35021,0.456,0.00085,0.92418,0.77558,0.86019,0.6112,1.28451,0.46648,0.00107,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3711.12,1.34274,0.45695,0.00084,0.91167,0.78558,0.86054,0.61276,1.28027,0.4646,0.00107,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3788.47,1.34779,0.45642,0.00084,0.91754,0.78629,0.86209,0.61607,1.28028,0.46015,0.00107,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3865.21,1.33746,0.45293,0.00083,0.92469,0.77963,0.86209,0.61548,1.27302,0.46165,0.00106,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3942.2,1.32575,0.44362,0.00083,0.92664,0.78242,0.86275,0.61918,1.26663,0.45631,0.00105,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4019.16,1.32154,0.44252,0.00083,0.92425,0.78325,0.8651,0.62011,1.2672,0.45788,0.00105,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4096.16,1.31112,0.44362,0.00082,0.9212,0.78375,0.86397,0.6203,1.26801,0.46026,0.00106,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4173.03,1.3113,0.44241,0.00082,0.91617,0.78897,0.86549,0.62075,1.26692,0.45985,0.00106,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4249.83,1.29835,0.43635,0.0008,0.92168,0.78597,0.86674,0.6204,1.26685,0.45337,0.00105,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4326.79,1.29268,0.43403,0.00081,0.91868,0.78975,0.86575,0.62258,1.26408,0.45509,0.00105,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4403.7,1.28762,0.43385,0.0008,0.92854,0.79163,0.86788,0.62273,1.25884,0.45135,0.00104,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4481.08,1.28545,0.43392,0.00079,0.92055,0.79241,0.86734,0.62224,1.25805,0.45033,0.00104,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4558.53,1.26892,0.42661,0.00078,0.91591,0.79261,0.86617,0.62232,1.25817,0.44818,0.00104,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4635.58,1.26629,0.4233,0.00078,0.92662,0.78671,0.86766,0.62528,1.25652,0.44597,0.00104,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4711.59,1.26454,0.42208,0.00078,0.92995,0.79196,0.87107,0.6262,1.2593,0.4459,0.00104,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4788.47,1.24737,0.41781,0.00076,0.9256,0.79119,0.86927,0.62598,1.25936,0.447,0.00104,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4865.84,1.24539,0.41886,0.00077,0.93535,0.78923,0.87063,0.62672,1.25579,0.44883,0.00103,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4943.5,1.2417,0.41447,0.00076,0.92226,0.79391,0.87102,0.62732,1.25625,0.44464,0.00104,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5023.6,1.23843,0.41411,0.00076,0.92812,0.79261,0.87111,0.62695,1.25725,0.444,0.00104,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5103.1,1.22565,0.4111,0.00075,0.92512,0.79518,0.87171,0.62812,1.25234,0.44249,0.00103,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5179.49,1.22279,0.40897,0.00074,0.92539,0.7927,0.87151,0.6293,1.25109,0.44349,0.00103,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5254.97,1.21448,0.40826,0.00074,0.92455,0.79138,0.87155,0.62907,1.24917,0.44356,0.00103,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5331.54,1.21098,0.40694,0.00074,0.92544,0.79567,0.87168,0.62996,1.25001,0.44393,0.00103,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5408.52,1.20581,0.40346,0.00073,0.93076,0.79399,0.87298,0.63223,1.24726,0.44308,0.00102,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5485.25,1.19983,0.40259,0.00073,0.92908,0.79659,0.87415,0.63216,1.25121,0.44254,0.00103,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5561.31,1.18837,0.39726,0.00073,0.92792,0.79637,0.87352,0.63257,1.24881,0.44195,0.00103,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5637.81,1.19105,0.39812,0.00072,0.92931,0.79762,0.8742,0.63227,1.25132,0.43923,0.00103,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,5714.24,1.18158,0.39777,0.00071,0.92658,0.79952,0.87433,0.63185,1.25036,0.4404,0.00103,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,5790.43,1.17934,0.39284,0.00071,0.92952,0.80066,0.87548,0.63298,1.25028,0.43932,0.00103,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,5867.04,1.16551,0.38836,0.0007,0.92981,0.80156,0.87599,0.63351,1.24876,0.43855,0.00102,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,5943.21,1.16738,0.39038,0.0007,0.93212,0.79914,0.87606,0.63387,1.24804,0.43816,0.00102,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,6019.91,1.15511,0.3849,0.0007,0.93135,0.79863,0.87576,0.63321,1.24804,0.43741,0.00102,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,6096.39,1.15671,0.38734,0.0007,0.92634,0.80588,0.87775,0.63358,1.24716,0.43844,0.00102,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,6172.97,1.14385,0.38324,0.00069,0.93031,0.80292,0.87749,0.63441,1.24787,0.43706,0.00103,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,6249.37,1.14246,0.38293,0.00069,0.92922,0.80419,0.87863,0.63399,1.24831,0.43906,0.00103,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,6325.95,1.14163,0.38101,0.00068,0.92438,0.80544,0.87894,0.63393,1.24847,0.43974,0.00102,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,6402.5,1.1335,0.37848,0.00067,0.92411,0.80439,0.8787,0.63456,1.24851,0.4389,0.00103,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,6478.91,1.12973,0.3799,0.00068,0.92381,0.80538,0.87841,0.63508,1.24766,0.44009,0.00102,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,6555.49,1.12661,0.37725,0.00067,0.92701,0.80268,0.87783,0.63471,1.24973,0.44061,0.00102,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,6631.79,1.12385,0.37524,0.00067,0.92535,0.80393,0.87876,0.63527,1.24853,0.44011,0.00102,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,6708.29,1.11846,0.37424,0.00067,0.92464,0.80356,0.87905,0.63543,1.24838,0.43909,0.00102,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,6784.51,1.11217,0.37276,0.00066,0.9224,0.80665,0.87934,0.6356,1.24838,0.43904,0.00102,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,6860.57,1.10721,0.37024,0.00066,0.92141,0.80645,0.8794,0.63634,1.24672,0.43919,0.00102,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,6937.03,1.09881,0.3679,0.00066,0.92167,0.80798,0.87993,0.63721,1.24656,0.43997,0.00102,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,7035.8,1.09624,0.361,0.0007,0.92268,0.80651,0.87918,0.63618,1.24907,0.4404,0.00102,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,7110.14,1.08163,0.35833,0.00069,0.92944,0.80022,0.87839,0.63543,1.2488,0.43981,0.00102,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,7184.11,1.07313,0.3546,0.00068,0.927,0.80167,0.87791,0.63515,1.24916,0.44019,0.00102,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,7258.37,1.07276,0.35415,0.00067,0.92846,0.7982,0.87811,0.63502,1.24917,0.44203,0.00102,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,7332.38,1.06571,0.35415,0.00067,0.93218,0.79704,0.87782,0.63469,1.24906,0.44219,0.00102,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,7406.32,1.05904,0.35051,0.00067,0.93301,0.79713,0.87781,0.6346,1.25094,0.44152,0.00102,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,7480.92,1.06108,0.35108,0.00067,0.93264,0.79788,0.87796,0.63477,1.2507,0.44279,0.00102,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,7555.2,1.05571,0.35033,0.00066,0.92876,0.80127,0.87832,0.63487,1.25103,0.44172,0.00102,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,7629.48,1.05123,0.34593,0.00065,0.92605,0.80216,0.87796,0.63452,1.25152,0.44183,0.00102,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,7703.79,1.04439,0.3428,0.00065,0.92601,0.80311,0.87794,0.63441,1.25157,0.44236,0.00103,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
