epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1372.71,1.05884,0.44778,0.77213,0.91109,0.68657,0.75989,0.5119,0.99189,0.41057,0.76797,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1414.84,1.05802,0.44721,0.77273,0.90735,0.68756,0.75948,0.51464,0.98744,0.40913,0.76765,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1456.95,1.0493,0.44231,0.77184,0.90446,0.6924,0.76148,0.51316,0.98519,0.40759,0.76726,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1499.3,1.04683,0.44146,0.77177,0.91544,0.68545,0.76249,0.51356,0.9842,0.40594,0.76674,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1541.59,1.04092,0.43857,0.7713,0.91436,0.69161,0.7643,0.5178,0.98173,0.407,0.76627,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1584.06,1.04274,0.43782,0.77215,0.91551,0.68921,0.76451,0.51791,0.97785,0.40174,0.76656,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1626.34,1.03971,0.43833,0.77267,0.9102,0.6913,0.76684,0.52005,0.97946,0.40228,0.76661,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1668.68,1.03785,0.43691,0.77138,0.91136,0.68845,0.76244,0.51751,0.97473,0.40056,0.76544,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1710.81,1.03866,0.43481,0.77073,0.91126,0.69376,0.7629,0.51865,0.97234,0.39887,0.76568,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1753.13,1.02686,0.43247,0.77072,0.91291,0.69371,0.76518,0.52158,0.97175,0.3986,0.7657,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1795.4,1.03224,0.4329,0.77157,0.90863,0.69481,0.76521,0.52171,0.96871,0.39534,0.76528,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1837.46,1.02476,0.42886,0.7709,0.91442,0.6959,0.76723,0.5249,0.9682,0.39567,0.76493,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1879.38,1.02703,0.42958,0.77108,0.91493,0.69674,0.76732,0.52452,0.96585,0.39278,0.76418,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
